COL	13387.701	50930656	24.242764	74.8	6.0124
COL	13938.231	46677944	28.585234	76	6.477
COL	14334.915	48351668	25.434488	76.6	6.2601
COL	14358.168	47625960	26.040422	76.5	6.357
COM	3222.374	806168		64.2	4.2886
COM	3290.6506	790993		64.1	4.2886
COM	3084.8267	670081		61.5	3.700023
COM	3115.238	684564		61.8	
COM	3150.8777	730221		62.9	3.956
COM	3185.6296	746239		63.2	
COM	3228.5269	821632		63.4	4.6086
COM	3240.1792	761672		63.6	
COM	3185.3196	699397		62.2	
COM	3183.157	714617		62.5	3.956
COM	3294.832	776322		63.9	3.9728
DEU	53071.457	82624368	0.9839711	80.9	6.9647
DEU	51840.33	83328992	0.93844897	81.1	7.1545
DEU	53431.395	82896696	0.9505807	81.2	6.985
DEU	50845.527	81858824	0.87467664	80.9	6.75
DEU	49757.926	81423384	0.9063736	80.4	6.572111
DEU	51879.67	82331432	1.1696628	80.8	6.951
DEU	49954.17	81680592	0.8349597	80.5	
DEU	53179.656	83408560	0.83324784	80.6	7.0341
DEU	51159.297	82073232	0.8309653	80.6	6.994
DEU	49872.45	81545568	0.8081371	80.5	
DEU	53874.316	83148144	0.7492651	81.6	7.0758
SLV	7995.633	6185641	40.62634	71.8	
SLV	8267.251	6292734	21.310303	71.1	6.0605
SLV	7665.948	6137354	71.21968	71.9	5.955841
SLV	8266.723	6231072	106.8196	71.8	6.068
SLV	8450.251	6250513	84.40911	72	6.003
SLV	8100.975	6209528	63.144913	71.7	6.13
SLV	7851.7017	6161293	42.10158	71.8	
SLV	8812.201	6276340	53.311302	72.6	6.2531
SLV	9086.047	6314165	18.165499	70.7	6.12
SLV	8617.922	6266661	63.223526	72.3	6.1668
SLV	9021.426	6280222	38.183395	72.6	6.3483
MEX	20032.408	122839256	26.114616	74.1	6.4882
MEX	19086.105	126705136	28.175653	70.2	6.1276
MEX	20278.217	124013864	29.581371	74	6.5945
MEX	19830.963	121519224	20.209972	74.4	6.578
MEX	18327.99	125998296	29.185314	70.1	6.3168
MEX	20064.5	125085312	29.308798	74.2	6.465
MEX	19141.92	118755888	16.849691	74.8	7.187
MEX	18432.37	114150480	23.839584	74.4	6.740288
MEX	18838.783	115755912	22.432549	74.6	
MEX	19542.89	120149896	17.28008	74.7	6.778
MEX	18844.031	117290680	19.663113	74.7	
SRB	14926.494	7620925	1.6927093	74.8	4.564279
SRB	15402.562	7566674	1.8370023	75.6	
SRB	14896.884	7591357	1.4490178	75.1	
SRB	15581.014	7519501	1.3298764	75.8	5.177
SRB	16185.742	7493288	1.5480521	76.3	5.395
SRB	18310.08	7401056	1.1890196	76.7	5.7782
SRB	15229.067	7543965	1.5641652	75.7	5.123
SRB	16614.014	7464882	1.1520613	76.2	5.3982
SRB	19831.297	7296771	1.0552616	74.2	6.178
SRB	18265.967	7358010	1.1416138	75.4	6.0779
SRB	17455.945	7433825	1.4124639	76.5	5.603
MKD	15709.287	2111982	1.467818	76.5	5.1848
MKD	13809.965	2097110	1.4305472	75.2	4.369255
MKD	14599.242	2105293	1.662478	75.9	5.007
MKD	16148.459	2113497	1.1828771	77.3	5.2736
MKD	15556.255	2110194	0.90039027	76	5.175
MKD	14111.445	2102220	1.046515	75.9	
MKD	16776.076	2114175	1.1351941	77.3	5.1598
MKD	15782.548	2111078		75.2	5.1012
MKD	15141.992	2107965	1.1859796	76	5.121
MKD	16467.316	2103329		73.8	5.199
MKD	13730.258	2099486	1.3812957	75.1	
NAM	10266.171	2405682	19.7865	62.6	4.6392
NAM	10813.227	2282709		60.7	4.574
