PAK	0.564737	0.458006	-0.648	0.590135
PAN	0.359206	0.457786	-0.695727	0.248193
PER	0.400503	0.520705	-0.0548374	0.113034
PHL	0.655168	0.641754	-0.0628157	0.222388
POL	0.574351	-0.503479	-0.488325	0.40106
PRT	0.666512	-0.637127	-0.8303	0.598282
PRY	0.665322	0.536482	-0.456555	0.115546
PSE	0.0103108	0.499284	0.187861	0.219319
QAT	0.105264	-0.0433042	-0.249121	0.339483
ROU	0.652666	-0.646749	0.50353	0.351761
RUS	0.03814	0.588049	-0.364732	0.32491
RWA	0.377252	0.386128	-0.168183	0.383156
SAU	-0.0595865	0.523639	0.212808	0.305842
SDN	0.672835	-0.442054	0	-0.31946
SEN	0.686943	0.641481	0	0.646414
SGP	0.475607	0.512423	-0.213603	0.443062
SLE	-0.348738	0.456732	-0.122413	0.466142
SLV	0.505055	0.567738	0.232797	0.0612904
SOM	0.369677	0.0561268	0	0.316119
SRB	0.597215	-0.641272	-0.609998	0.192747
SSD	0	0.0824662	-0.284799	0.34548
SVK	0.634228	0.577261	-0.294453	0.211349
SVN	0.640829	0.586281	0.000334638	0.528833
SWE	0.661772	0.525524	0.6772	0.577972
SWZ	0.617082	0.66909	-0.561638	0.560561
SYR	0	-0.360205	0	-0.0780351
TCD	-0.536361	0.610135	0	0.629438
TGO	0.739854	0.724983	0	0.726459
THA	0.413612	0.526388	0.105791	0.504084
TJK	0.603802	0.626944	0.151523	0.405459
TKM	-0.0248803	0.395771	-0.380159	0.202758
TTO	0.254168	-0.0929337	0.46654	0.312038
TUN	0.133487	0.433581	-0.141811	-0.0547079
TUR	0.458798	0.529421	0.140571	0.305004
TWN	0	0.593728	0	0.456642
TZA	0.516535	0.478911	-0.483352	0.478472
UGA	0.630551	0.591827	-0.134935	0.579502
UKR	-0.336694	-0.514215	0.0930252	0.322032
URY	0.49531	0.60605	0.291207	0.105441
USA	0.490058	0.505608	0.354918	-0.232777
UZB	0.618202	0.591348	0.626285	0.574783
VEN	0	0.0470818	0.381897	-0.243131
VNM	0.539105	0.535967	0.172485	0.262652
YEM	0	0.428529	-0.713149	-0.455872
ZAF	-0.31635	0.561733	0.478041	0.407169
ZMB	0.0999614	0.335035	-0.37552	0.385389
ZWE	-0.150147	0.293789	-0.372131	0.354511
